,brand,km_driven,fuel,owner,selling_price
84,Datsun,49000,Petrol,First Owner,275000
85,Maruti,32000,Petrol,First Owner,315000
86,Maruti,38000,Petrol,First Owner,275000
87,Maruti,78000,Diesel,First Owner,475000
88,Hyundai,28000,Petrol,First Owner,290000
89,Maruti,32000,Petrol,First Owner,280000
90,Maruti,44000,LPG,First Owner,225000
91,Volkswagen,42000,Petrol,First Owner,455000
92,Hyundai,45000,Petrol,Second Owner,351000
93,Volkswagen,12000,Petrol,Second Owner,535000
94,Maruti,55500,Petrol,First Owner,175000
95,Hyundai,61500,Petrol,First Owner,525000
96,Maruti,150000,Diesel,First Owner,600000
97,Hyundai,72000,Petrol,First Owner,565000
98,Maruti,68000,Petrol,Third Owner,120000
99,Hyundai,110000,Diesel,First Owner,725000
100,Maruti,77000,Petrol,Second Owner,185000
101,Tata,100000,Diesel,Second Owner,200000
102,Maruti,10000,Petrol,First Owner,615000
103,Maruti,100000,Petrol,Third Owner,270000
104,Maruti,35000,Petrol,First Owner,610000
105,Mahindra,70000,Diesel,Second Owner,625000
106,Ford,5000,Petrol,Second Owner,400000
107,Hyundai,37800,Petrol,First Owner,866000
108,Volkswagen,114000,Petrol,First Owner,700000
109,Tata,48000,Petrol,First Owner,300000
110,Mahindra,32000,Diesel,First Owner,1700000
111,Tata,100000,Diesel,First Owner,375000
112,Hyundai,150000,Diesel,Second Owner,522000
113,Hyundai,69000,Diesel,First Owner,451999
114,Toyota,100000,Petrol,Second Owner,300000
115,Maruti,13000,Petrol,First Owner,475000
116,Maruti,60000,Diesel,First Owner,780000
117,Maruti,40000,Petrol,First Owner,595000
118,Maruti,35000,Petrol,First Owner,440000
119,Maruti,120000,Diesel,Second Owner,300000
120,Nissan,70000,Diesel,Third Owner,400000
121,Hyundai,50000,Diesel,First Owner,1140000
122,Ford,76139,Diesel,First Owner,850000
123,Maruti,175000,Diesel,Fourth & Above Owner,370000
124,Renault,25000,Petrol,First Owner,350000
125,Maruti,40000,Petrol,Second Owner,360000
126,Maruti,65000,Petrol,Fourth & Above Owner,105000
127,Maruti,90000,Diesel,Second Owner,625000
128,Hyundai,80000,Petrol,Second Owner,135000
129,Maruti,110000,Diesel,Second Owner,700000
130,Honda,1303,Petrol,First Owner,690000
131,Audi,31800,Diesel,First Owner,3975000
132,Lexus,20000,Petrol,First Owner,5150000
133,Jaguar,45000,Diesel,First Owner,3200000
134,Jeep,17000,Petrol,First Owner,4100000
135,Land,21000,Diesel,First Owner,4500000
136,Mercedes-Benz,37000,Diesel,First Owner,6000000
137,BMW,29500,Diesel,First Owner,3790000
138,BMW,27000,Diesel,First Owner,2150000
139,BMW,7500,Diesel,First Owner,5800000
140,Skoda,50000,Petrol,First Owner,1864999
141,Mercedes-Benz,35000,Diesel,First Owner,2700000
142,MG,19000,Petrol,First Owner,1750000
143,Honda,41000,Petrol,First Owner,795000
144,Toyota,39000,Petrol,First Owner,625000
145,Volvo,22000,Diesel,First Owner,3400000
146,Audi,53000,Diesel,First Owner,2650000
147,Maruti,40000,Diesel,First Owner,535000
148,Mercedes-Benz,47000,Diesel,First Owner,5850000
149,BMW,72200,Petrol,Second Owner,975000
150,Hyundai,49900,Petrol,First Owner,805000
151,Jaguar,9000,Diesel,First Owner,2625000
152,Tata,11000,Petrol,First Owner,811000
153,Volkswagen,49000,Petrol,First Owner,375000
154,Hyundai,95000,Petrol,First Owner,550000
155,Skoda,11000,Petrol,First Owner,645000
156,Mercedes-Benz,18000,Petrol,First Owner,2550000
157,Maruti,46100,Petrol,First Owner,599000
158,Mercedes-Benz,16000,Petrol,First Owner,2700000
159,Honda,18000,Petrol,First Owner,875000
160,Toyota,9654,Petrol,First Owner,894999
161,Maruti,11000,Petrol,First Owner,175000
162,Maruti,24300,Petrol,First Owner,340000
163,Toyota,42163,Diesel,Second Owner,1525000
164,Tata,8000,Diesel,First Owner,1025000
165,BMW,30000,Diesel,First Owner,2150000
166,Toyota,41000,Petrol,First Owner,1900000
167,BMW,12000,Diesel,First Owner,2900000
168,Toyota,71000,Petrol,First Owner,450000
169,Maruti,20000,Petrol,First Owner,850000
170,Volvo,30000,Petrol,First Owner,10000000
171,Volkswagen,100000,Diesel,Second Owner,300000
172,Ford,9500,Petrol,First Owner,575000
173,Ford,120000,Diesel,First Owner,160000
174,Maruti,36600,Petrol,First Owner,515000
175,Maruti,50000,Petrol,Second Owner,390000
176,Hyundai,14000,Petrol,Second Owner,550000
177,Maruti,40000,Petrol,Second Owner,40000
178,Maruti,120000,Diesel,First Owner,220000
179,Hyundai,70000,Petrol,First Owner,425000
180,Volkswagen,13000,Petrol,First Owner,480000
181,Hyundai,60000,Petrol,Second Owner,400000
182,Maruti,35000,Petrol,First Owner,487000
183,Hyundai,44000,Petrol,Second Owner,386000
184,Honda,120000,Petrol,Second Owner,100000
185,Toyota,60000,Diesel,First Owner,300000
186,Daewoo,60000,Petrol,First Owner,100000
187,Toyota,30000,Diesel,Second Owner,1750000
188,Mahindra,15000,Petrol,Second Owner,450000
189,Tata,90000,Diesel,First Owner,490000
190,Honda,47000,Petrol,Second Owner,345000
191,Maruti,90000,Petrol,First Owner,85000
192,Maruti,120600,Petrol,Second Owner,215000
193,Hyundai,100000,Petrol,Third Owner,320000
194,Maruti,60000,Petrol,Second Owner,459999
195,Hyundai,86000,Petrol,First Owner,65000
196,Hyundai,5000,Petrol,First Owner,720000
197,Maruti,37000,Diesel,First Owner,800000
198,Tata,14000,Petrol,First Owner,520000
199,Maruti,70000,Diesel,First Owner,580000
200,Toyota,120000,Diesel,First Owner,235000
201,Honda,50000,Petrol,First Owner,600000
202,Honda,60000,Petrol,Second Owner,290000
203,Maruti,50000,CNG,First Owner,360000
204,Maruti,50000,Petrol,First Owner,550000
205,Hyundai,70000,Petrol,First Owner,375000
206,Maruti,90000,Petrol,Second Owner,40000
207,Maruti,35000,Petrol,First Owner,420000
208,Maruti,20000,Petrol,First Owner,550000
209,Maruti,20000,Petrol,First Owner,270000
210,Maruti,7800,Petrol,First Owner,700000
211,Maruti,20000,Petrol,First Owner,500000
212,Tata,15000,Diesel,First Owner,1250000
213,Hyundai,31377,Petrol,Second Owner,320000
214,Maruti,50000,Diesel,First Owner,700000
215,Maruti,60000,Petrol,First Owner,290000
216,Toyota,100000,Petrol,First Owner,550000
217,Honda,60000,Petrol,First Owner,265000
218,Maruti,5000,Petrol,First Owner,830000
219,Tata,60000,Diesel,First Owner,800000
220,Maruti,25000,Petrol,Second Owner,160000
221,Renault,30000,Petrol,First Owner,335000
222,Datsun,80000,Petrol,Second Owner,329000
223,Maruti,75000,Diesel,First Owner,775000
224,Hyundai,32000,Petrol,First Owner,524000
225,Maruti,40000,Petrol,First Owner,245000
226,Hyundai,93000,Petrol,Second Owner,275000
227,Tata,60000,Petrol,First Owner,520000
228,Maruti,120000,Petrol,Second Owner,130000
229,Nissan,37000,Petrol,First Owner,550000
230,Ford,15000,Petrol,First Owner,910000
231,Nissan,80000,Petrol,First Owner,300000
232,Maruti,140000,Petrol,First Owner,350000
233,Mahindra,70000,Diesel,First Owner,900000
234,Mahindra,120000,Diesel,Second Owner,300000
235,Maruti,110000,Diesel,Second Owner,250000
236,Hyundai,37000,Diesel,First Owner,1100000
237,Renault,44000,Petrol,First Owner,270000
238,Maruti,80000,Diesel,First Owner,640000
239,Mahindra,125000,Diesel,First Owner,650000
240,Maruti,13500,Petrol,First Owner,409999
241,Hyundai,75000,Petrol,First Owner,165000
242,Hyundai,120000,Petrol,Second Owner,80000
243,Mahindra,120000,Diesel,First Owner,535000
244,Toyota,70000,Diesel,First Owner,700000
245,Maruti,70000,Diesel,First Owner,550000
246,Honda,15000,Petrol,First Owner,680000
247,Hyundai,53000,Petrol,Second Owner,200000
248,Maruti,120000,Diesel,Second Owner,500000
249,Maruti,70000,Diesel,First Owner,1000000
250,Hyundai,120000,Petrol,Second Owner,110000
251,Hyundai,100000,Petrol,Second Owner,320000
252,Tata,110000,Diesel,Second Owner,75000
253,Maruti,100000,Petrol,First Owner,350000
254,Tata,162500,Diesel,First Owner,170000
255,Hyundai,39000,Diesel,First Owner,800000
256,Maruti,75000,Diesel,First Owner,500000
257,Tata,50000,Diesel,First Owner,1380000
258,Mahindra,40000,Diesel,First Owner,1300000
259,Hyundai,92500,Diesel,First Owner,530000
260,Maruti,158000,Diesel,First Owner,360000
261,Maruti,120000,Diesel,First Owner,310000
262,Honda,50000,Diesel,Second Owner,725000
263,Maruti,110000,Diesel,First Owner,340000
264,Hyundai,2000,Diesel,Second Owner,550000
265,Toyota,181000,Diesel,Second Owner,1150000
266,Tata,70000,Diesel,First Owner,380000
267,Nissan,90000,Petrol,Second Owner,350000
268,Hyundai,2000,Petrol,First Owner,610000
269,Maruti,20000,Petrol,First Owner,525000
270,Toyota,120000,Diesel,First Owner,480000
271,Mahindra,35000,Diesel,First Owner,780000
272,Maruti,193000,Diesel,First Owner,320000
273,Maruti,80000,Petrol,First Owner,375000
274,Datsun,40000,Petrol,First Owner,300000
275,Hyundai,70000,Diesel,Fourth & Above Owner,500000
276,Mahindra,122358,Diesel,First Owner,404000
277,Tata,75000,Diesel,First Owner,500000
278,Tata,120000,Diesel,First Owner,350000
279,Tata,40000,Petrol,First Owner,380000
280,Hyundai,95200,Petrol,Third Owner,114999
281,Honda,33033,Petrol,First Owner,335000
282,Hyundai,63063,Petrol,First Owner,465000
283,Tata,60000,Diesel,First Owner,290000
284,Maruti,45000,Petrol,Second Owner,110000
285,Tata,80000,Diesel,Third Owner,450000
286,Mahindra,170000,Diesel,Second Owner,400000
287,Mahindra,207890,Diesel,Second Owner,210000
288,Mercedes-Benz,7976,Diesel,First Owner,4600000
289,Maruti,35000,Petrol,First Owner,220000
290,Hyundai,35000,Petrol,First Owner,450000
291,Hyundai,35000,Petrol,First Owner,450000
292,Hyundai,50000,Petrol,First Owner,290000
293,Maruti,20000,Petrol,First Owner,520000
294,Hyundai,20000,Petrol,First Owner,265000
295,Maruti,50000,Petrol,Second Owner,330000
296,Maruti,50000,Petrol,Second Owner,330000
297,Mahindra,120000,Diesel,First Owner,509999
298,Hyundai,70000,Petrol,First Owner,500000
299,Hyundai,50000,Petrol,First Owner,525000
300,Maruti,16500,Petrol,First Owner,675000
301,Hyundai,70000,Petrol,First Owner,300000
302,Maruti,99361,Petrol,Second Owner,90000
303,Maruti,25000,Diesel,First Owner,650000
304,Maruti,70000,Petrol,Second Owner,409000
305,Hyundai,80000,Diesel,Second Owner,395000
306,Maruti,70000,Petrol,Second Owner,215000
307,Maruti,70000,Petrol,Second Owner,400000
308,Chevrolet,60000,Petrol,Third Owner,120000
309,Tata,10000,Petrol,First Owner,645000
310,Maruti,80000,Petrol,First Owner,81000
311,Honda,30000,Diesel,First Owner,1300000
312,Honda,33000,Diesel,First Owner,1250000
313,Maruti,90000,Petrol,Third Owner,535000
314,Nissan,80100,Diesel,Second Owner,555000
315,Honda,120000,Petrol,First Owner,725000
316,Mahindra,10000,Diesel,Third Owner,300000
317,Renault,40000,Petrol,First Owner,229999
318,Toyota,160000,Diesel,Second Owner,800000
319,Maruti,47000,Petrol,First Owner,409999
320,Hyundai,25000,Diesel,First Owner,1210000
321,Tata,26000,Petrol,First Owner,400000
322,Hyundai,29000,Diesel,First Owner,520000
323,Maruti,50000,Petrol,First Owner,650000
324,Maruti,58000,Petrol,Third Owner,325000
325,Maruti,120000,Petrol,First Owner,420000
326,Maruti,50000,Petrol,First Owner,400000
327,Hyundai,80000,Petrol,Fourth & Above Owner,254999
328,Maruti,60000,Petrol,Fourth & Above Owner,65000
329,Maruti,36000,Petrol,First Owner,351000
330,Toyota,120000,Diesel,Third Owner,404000
331,Maruti,185000,Diesel,Third Owner,185000
332,Nissan,50000,Diesel,First Owner,250000
333,Maruti,100000,Petrol,Fourth & Above Owner,60000
334,Hyundai,50000,Petrol,Second Owner,500000
335,Maruti,80000,Petrol,Second Owner,85000
336,Hyundai,60000,Petrol,Second Owner,85000
337,Maruti,80000,Petrol,Fourth & Above Owner,85000
338,Maruti,90000,Diesel,Fourth & Above Owner,265000
339,Maruti,162000,Petrol,Second Owner,130000
340,Maruti,110000,Diesel,Third Owner,480000
341,Maruti,120000,Diesel,Third Owner,170000
342,Nissan,45000,Diesel,First Owner,275000
343,Maruti,90000,Petrol,Second Owner,89000
344,Ford,90000,Diesel,Second Owner,170000
345,Mahindra,16500,Petrol,First Owner,1090000
346,Hyundai,67000,Diesel,First Owner,1100000
347,Maruti,52000,Petrol,First Owner,610000
348,Datsun,40000,Petrol,First Owner,335000
349,Hyundai,40000,Petrol,First Owner,434999
350,Toyota,35000,Diesel,First Owner,3000000
351,Renault,13000,Petrol,First Owner,390000
352,Honda,40000,Petrol,First Owner,325000
353,Volkswagen,10000,Petrol,First Owner,640000
354,Nissan,9000,Petrol,First Owner,450000
355,Toyota,70000,Diesel,Second Owner,400000
356,Hyundai,60000,Petrol,First Owner,215000
357,Renault,40000,Diesel,First Owner,570000
358,Mahindra,93000,Diesel,First Owner,680000
359,Toyota,80000,Diesel,Fourth & Above Owner,325000
360,Tata,50000,Petrol,Second Owner,150000
361,Hyundai,68000,Petrol,First Owner,690000
362,Mercedes-Benz,25000,Diesel,First Owner,1550000
363,Tata,18000,Petrol,First Owner,64000
364,Nissan,120000,Diesel,First Owner,250000
365,Maruti,35000,Petrol,First Owner,65000
366,Maruti,60000,Diesel,Second Owner,550000
367,Hyundai,70000,Petrol,Fourth & Above Owner,140000
368,Renault,30000,Petrol,First Owner,300000
369,Volkswagen,70000,Petrol,First Owner,800000
370,Jaguar,9000,Diesel,First Owner,2625000
371,Lexus,20000,Petrol,First Owner,5150000
372,Jaguar,45000,Diesel,First Owner,3200000
373,Tata,110000,Diesel,First Owner,503000
374,Volvo,20000,Diesel,First Owner,3800000
375,Toyota,68089,Petrol,First Owner,2000000
376,Maruti,58343,Petrol,First Owner,225000
377,Maruti,38817,Diesel,First Owner,740000
378,Honda,56494,Petrol,First Owner,550000
379,Toyota,79328,Diesel,Second Owner,750000
380,Maruti,5621,Petrol,First Owner,650000
381,Toyota,25538,Petrol,First Owner,625000
382,Maruti,69779,Petrol,First Owner,600000
383,Hyundai,56290,Diesel,First Owner,450000
384,BMW,7500,Diesel,First Owner,5400000
385,BMW,8500,Diesel,First Owner,5500000
386,Honda,7032,Petrol,First Owner,779000
387,Skoda,11000,Petrol,First Owner,645000
388,Volvo,2000,Diesel,First Owner,2475000
389,Hyundai,106000,Petrol,Third Owner,150000
390,Toyota,162000,Diesel,Third Owner,265000
391,Honda,120000,Petrol,Second Owner,500000
392,Maruti,90000,Diesel,First Owner,480000
393,Hyundai,70000,Diesel,Third Owner,535000
394,Toyota,240000,Diesel,Third Owner,250000
395,Maruti,100000,Diesel,Second Owner,300000
396,Hyundai,214000,Petrol,Second Owner,340000
397,Hyundai,214000,Diesel,Second Owner,340000
398,Maruti,50000,Petrol,First Owner,240000
399,Honda,1000,Petrol,First Owner,1085000
400,Maruti,19000,Diesel,First Owner,750000
401,Tata,265000,Diesel,Second Owner,95000
402,Maruti,35000,CNG,First Owner,409999
403,Maruti,80000,Petrol,Second Owner,215000
404,Mahindra,50000,Diesel,First Owner,1290000
405,Maruti,80000,Petrol,First Owner,150000
406,Hyundai,50000,Petrol,Second Owner,219000
407,Tata,100000,Petrol,First Owner,325000
408,Maruti,120000,Petrol,Second Owner,260000
409,Jaguar,9000,Diesel,First Owner,2625000
410,Lexus,20000,Petrol,First Owner,5150000
411,Jaguar,45000,Diesel,First Owner,3200000
412,Tata,110000,Diesel,First Owner,503000
413,Volvo,20000,Diesel,First Owner,3800000
414,Toyota,68089,Petrol,First Owner,2000000
415,Maruti,58343,Petrol,First Owner,225000
416,Maruti,38817,Diesel,First Owner,740000
417,Honda,56494,Petrol,First Owner,550000
418,Toyota,79328,Diesel,Second Owner,750000
419,Maruti,5621,Petrol,First Owner,650000
420,Toyota,25538,Petrol,First Owner,625000
421,Maruti,69779,Petrol,First Owner,600000
422,Hyundai,56290,Diesel,First Owner,450000
423,BMW,7500,Diesel,First Owner,5400000
424,BMW,8500,Diesel,First Owner,5500000
425,Honda,7032,Petrol,First Owner,779000
426,Skoda,11000,Petrol,First Owner,645000
427,Volvo,2000,Diesel,First Owner,2475000
428,Honda,40000,Diesel,First Owner,700000
429,Hyundai,45000,Diesel,First Owner,950000
430,Maruti,80000,Petrol,Second Owner,160000
431,Hyundai,135000,Diesel,Second Owner,409999
432,Toyota,120000,Diesel,Second Owner,840000
433,Toyota,67000,Diesel,First Owner,450000
434,Maruti,50000,Diesel,First Owner,900000
435,Toyota,134000,Diesel,Second Owner,570000
436,Nissan,110000,Diesel,Second Owner,254999
437,Maruti,40000,Petrol,First Owner,130000
438,Maruti,120000,Diesel,Second Owner,530000
439,Volkswagen,110000,Diesel,Second Owner,520000
440,Mahindra,170000,Diesel,Second Owner,229999
441,Maruti,80000,Petrol,Second Owner,81000
442,Maruti,47000,Diesel,First Owner,600000
443,Hyundai,93000,Petrol,First Owner,409999
444,Maruti,70000,Petrol,Second Owner,120000
445,Maruti,50000,Petrol,First Owner,320000
446,Ford,70000,Diesel,First Owner,292000
447,Tata,80000,Diesel,First Owner,390000
448,Ford,44000,Petrol,First Owner,550000
449,Maruti,25000,Petrol,First Owner,385000
450,Hyundai,25000,Petrol,First Owner,800000
451,Maruti,10000,Petrol,First Owner,675000
452,Tata,50000,Diesel,First Owner,1525000
453,Ford,30000,Diesel,First Owner,950000
454,Hyundai,50000,Diesel,Second Owner,610000
455,Hyundai,120000,Diesel,First Owner,525000
456,Honda,40000,Diesel,First Owner,700000
457,Mahindra,80000,Diesel,First Owner,375000
458,Nissan,90000,Diesel,First Owner,580000
459,Maruti,50000,Petrol,Second Owner,434999
460,Datsun,2136,Petrol,First Owner,350000
461,Toyota,250000,Diesel,First Owner,730000
462,Hyundai,35000,Petrol,First Owner,600000
463,Toyota,120000,Diesel,First Owner,1050000
464,Maruti,70000,Diesel,First Owner,735000
465,Renault,18000,Diesel,First Owner,1050000
466,Chevrolet,110000,Diesel,Second Owner,420000
467,Maruti,60000,Diesel,First Owner,800000
468,Toyota,60000,Diesel,First Owner,2000000
469,Maruti,147000,Diesel,Second Owner,600000
470,Toyota,130000,Diesel,First Owner,1900000
471,Chevrolet,99500,Diesel,Third Owner,500000
472,Tata,110000,Diesel,Second Owner,200000
473,Nissan,35000,Petrol,First Owner,370000
474,Hyundai,110000,Diesel,Second Owner,260000
475,Mahindra,100000,Diesel,First Owner,280000
476,Maruti,21000,Petrol,First Owner,610000
477,Ford,60000,Diesel,Second Owner,300000
478,Tata,40000,Diesel,First Owner,140000
479,Hyundai,50000,Petrol,First Owner,229999
480,Maruti,65000,Petrol,Second Owner,200000
481,Maruti,80000,Petrol,First Owner,200000
482,Hyundai,119000,Diesel,First Owner,560000
483,Maruti,80000,Diesel,First Owner,750000
484,Maruti,90000,Diesel,First Owner,585000
485,Hyundai,20000,Petrol,First Owner,760000
486,Maruti,80000,Diesel,Second Owner,430000
487,Mahindra,44665,Diesel,First Owner,480000
488,Kia,10000,Diesel,First Owner,643000
489,Hyundai,60000,Petrol,First Owner,500000
490,Honda,22000,Petrol,First Owner,425000
491,Maruti,25000,Petrol,First Owner,250000
492,Maruti,70000,Diesel,First Owner,285000
493,Maruti,123000,Petrol,Third Owner,160000
494,Volkswagen,70000,Diesel,Second Owner,250000
495,Chevrolet,70000,Petrol,Second Owner,170000
496,Toyota,45000,Diesel,First Owner,409999
497,Hyundai,40000,Petrol,First Owner,400000
498,Maruti,30000,Diesel,First Owner,700000
499,Honda,90000,Petrol,First Owner,350000
500,Maruti,34000,Petrol,Second Owner,660000
501,Maruti,25000,Petrol,First Owner,268000
502,Maruti,50000,Petrol,First Owner,270000
503,Chevrolet,50000,Diesel,First Owner,300000
504,Tata,90000,Petrol,First Owner,450000
505,Chevrolet,70000,Diesel,Second Owner,220000
506,Tata,146000,Diesel,Second Owner,250000
507,Ford,85000,Petrol,Second Owner,300000
508,Tata,201850,Diesel,Second Owner,88000
509,Maruti,30000,Diesel,First Owner,561000
510,Maruti,15000,Diesel,First Owner,755000
511,Datsun,25000,Petrol,First Owner,235000
512,Maruti,90000,Petrol,First Owner,165000
513,Maruti,80000,Diesel,Second Owner,190000
514,Tata,50000,Diesel,First Owner,110000
515,Mahindra,80000,Diesel,Second Owner,320000
516,Maruti,110000,Diesel,Second Owner,330000
517,Hyundai,38000,Petrol,First Owner,540000
518,Hyundai,60000,Petrol,First Owner,180000
519,Maruti,100000,Petrol,Third Owner,270000
520,Maruti,30000,Petrol,First Owner,450000
521,Maruti,30000,Petrol,First Owner,450000
522,Chevrolet,50000,Petrol,First Owner,200000
523,Tata,42000,Petrol,First Owner,425000
524,Chevrolet,30000,Petrol,First Owner,400000
525,Maruti,60000,Petrol,Third Owner,125000
526,Jeep,14000,Diesel,First Owner,1600000
527,Honda,22000,Petrol,First Owner,900000
528,Volkswagen,90000,Diesel,First Owner,450000
529,Maruti,46000,Petrol,First Owner,210000
530,Hyundai,20000,Petrol,First Owner,801000
531,Tata,15000,Diesel,First Owner,317000
532,Maruti,40000,Petrol,Second Owner,600000
533,Hyundai,30000,Petrol,Second Owner,330000
534,Hyundai,15000,Petrol,Second Owner,320000
535,Maruti,50000,Petrol,First Owner,160000
536,Hyundai,110000,Petrol,Second Owner,120000
537,Maruti,70000,Petrol,Second Owner,130000
538,Chevrolet,80000,Petrol,First Owner,220000
539,Maruti,50000,Diesel,Third Owner,229999
540,Tata,110000,Petrol,First Owner,340000
541,Ford,70000,Diesel,Second Owner,200000
542,Maruti,50000,Petrol,Second Owner,140000
543,Toyota,190000,Diesel,First Owner,1000000
544,Mahindra,100000,Diesel,Second Owner,495000
545,Maruti,60000,Petrol,First Owner,236000
546,Maruti,40000,Petrol,First Owner,390000
547,Maruti,90000,Diesel,Second Owner,275000
548,Tata,110000,Diesel,First Owner,503000
549,Maruti,32000,Diesel,First Owner,775000
550,Toyota,30000,Diesel,First Owner,1800000
551,Hyundai,58000,Diesel,First Owner,850000
552,Maruti,5000,Diesel,First Owner,750000
553,Hyundai,25000,Petrol,First Owner,570000
554,Hyundai,32000,Petrol,First Owner,580000
555,Honda,30000,Petrol,First Owner,484999
556,Honda,43000,Petrol,First Owner,700000
557,Hyundai,60000,Petrol,First Owner,415000
558,Nissan,50000,Petrol,First Owner,325000
559,Ford,14200,Petrol,First Owner,550000
560,Hyundai,10000,Petrol,First Owner,300000
561,Datsun,25000,Petrol,First Owner,217000
562,Ford,19100,Petrol,First Owner,700000
563,Hyundai,25000,Petrol,Fourth & Above Owner,466000
564,Ford,54000,Diesel,First Owner,484999
565,Nissan,35000,Diesel,First Owner,670000
566,Hyundai,20000,Petrol,Second Owner,500000
567,Maruti,52000,Diesel,First Owner,675000
568,Hyundai,120000,Diesel,Second Owner,220000
569,Jeep,50000,Diesel,First Owner,1650000
570,Maruti,120000,Diesel,Second Owner,630000
571,Tata,90000,Diesel,Second Owner,250000
572,Maruti,120000,Petrol,Third Owner,120000
573,Skoda,101500,Diesel,Second Owner,300000
574,Hyundai,75000,Diesel,First Owner,525000
575,Maruti,97500,Petrol,First Owner,204999
576,Maruti,97500,Petrol,First Owner,204999
577,Mahindra,100000,Diesel,First Owner,1100000
578,Renault,55735,Diesel,Second Owner,480000
579,Mahindra,80000,Diesel,Second Owner,605000
580,Maruti,50000,Petrol,Second Owner,250000
581,Ford,70000,Diesel,Second Owner,245000
582,Hyundai,76000,Petrol,Fourth & Above Owner,210000
583,Maruti,1500,Petrol,First Owner,730000
584,Mahindra,76000,Diesel,First Owner,500000
585,Maruti,40000,Petrol,First Owner,400000
586,Hyundai,60000,Petrol,Second Owner,280000
587,Toyota,170000,Diesel,Third Owner,561000
